Bisutti,Delia Beatriz,Afirmación para una República Igualitaria,2005-2009,3/31/1947
Blanco de Peralta,Blanca,Frente para la Victoria - PJ,2009-2013,6/4/1961
Bonasso,Miguel Luis,Diálogo por Buenos Aires,2007-2011,5/17/1940
Brawer,Mara,,2011-2015,5/12/1962
Brillo,José Ricardo,Movimiento Popular Neuquino,2005-2009,2/2/1952
Brillo,José Ricardo,Movimiento Popular Neuquino,2009-2013,2/2/1952
Brizuela y Doria de Cara,Olga Inés,,2011-2015,4/11/1971
Bromberg,Isaac Benjamín,,2011-2015,1/8/1953
Brue,Daniel Agustín,Frente Cívico por Santiago,2005-2009,12/28/1964
Brue,Daniel Agustín,Frente Cívico por Santiago,2009-2013,12/28/1964
Bullrich,Patricia,Alianza Coalición Cívica,2007-2011,6/11/1956
Bullrich,Esteban José,Propuesta Republicana,2005-2009,5/26/1969
Bullrich,Esteban José,Propuesta Republicana,2009-2013,5/26/1969
Bullrich,Patricia,,2011-2015,6/11/1956
Buryaile,Ricardo,Unión Cívica Radical,2009-2013,11/29/1962
Burzaco,Eugenio,Propuesta Republicana,2005-2009,1/22/1971
Calcagno y Maillman,Eric,,2011-2015,4/9/1967
Calchaquí,Mariel,Frente para la Victoria - PJ,2007-2011,2/29/1968
Calza,Nelio Higinio,Frente para la Victoria - PJ,2005-2009,9/6/1963
Camaño,Graciela,Peronista,2007-2011,4/25/1953
Camaño,Dante Alberto,Nacional Sindical,2005-2009,2/9/1952
Camaño,Graciela,,2011-2015,4/25/1953
Canela,Susana Mercedes,Frente para la Victoria - PJ,2005-2009,9/24/1949
Cantero Gutiérrez,Alberto,Frente para la Victoria - PJ,2005-2009,1/18/1944
Carca,Elisa Beatriz,Coalición Cívica - Ari,2007-2011,3/15/1953
Cardelli,Jorge Justo,Movimiento Proyecto Sur,2009-2013,11/2/1947
Carlotto,Remo Gerardo,Frente para la Victoria - PJ,2005-2009,12/21/1962
Carlotto,Remo Gerardo,Frente para la Victoria - PJ,2009-2013,12/21/1962
Carmona,María Araceli,Frente para la Victoria - PJ,2005-2009,1/26/1955
Carmona,Guillermo Ramón,,2011-2015,6/26/1967
Carranza,Carlos Alberto,Peronismo Federal,2009-2013,8/24/1954
Carrió,Elisa María Avelina,Acuerdo Cívico y Social,2009-2013,12/26/1957
Casañas,Juan Francisco,Unión Cívica Radical,2009-2013,4/30/1964
Caselles,Graciela María,Frente para la Victoria - PJ,2007-2011,11/5/1966
Caselles,Graciela María,,2011-2015,11/5/1966
Castaldo,Norah Susana,Unión Cívica Radical,2007-2011,4/24/1942
Castañón,Hugo,Unión Cívica Radical,2009-2013,2/2/1959
Catalán Magni,Julio César,,2011-2015,8/14/1968
Cejas,Jorge Alberto,Frente para la Victoria - PJ,2007-2011,8/31/1952
Cejas,Jorge Alberto,,2011-2015,8/31/1952
César,Nora Noemí,Frente para la Victoria - PJ,2005-2009,
Chemes,Jorge Omar,Unión Cívica Radical,2009-2013,4/9/1956
Chieno,María Elena Petrona,Frente para la Victoria - PJ,2009-2013,8/14/1954
Chiquichano,Rosa Laudelina,Frente para la Victoria - PJ,2007-2011,8/30/1947
Ciampini,José Alberto,,2011-2015,11/7/1953
Ciciliani,Alicia Mabel,Partido Socialista,2009-2013,2/9/1956
Cigogna,Luis Francisco Jorge,Frente para la Victoria - PJ,2009-2013,2/1/1945
Cigogna,Luis Francisco Jorge,Frente para la Victoria - PJ,2005-2009,2/1/1945
Cleri,Marcos,,2011-2015,1/12/1982
Collantes,Genaro Aurelio,Frente Progresista Cívico y Social,2005-2009,1/1/1946
Comelli,Alicia Marcela,Movimiento Popular Neuquino,2007-2011,1/21/1966
Comelli,Alicia Marcela,,2011-2015,1/21/1966
Comi,Carlos Marcelo,Coalición Cívica - Ari,2009-2013,5/6/1965
Conti,Diana Beatriz,Frente para la Victoria - PJ,2009-2013,3/29/1956
Conti,Diana Beatriz,Frente para la Victoria - PJ,2005-2009,3/29/1956
Córdoba,José Manuel,Frente para la Victoria - PJ,2005-2009,6/3/1956
Córdoba,José Manuel,Frente para la Victoria - PJ,2005-2009,6/3/1956
Córdoba,Stella Maris,Frente para la Victoria - PJ,2009-2013,1/5/1964
Córdoba,Stella Maris,,2005-2009,1/5/1964
Cortina,Roy,Partido Socialista,2007-2011,3/14/1964
Cortina,Roy,,2011-2015,3/14/1964
Coscia,Jorge Edmundo,Frente para la Victoria - PJ,2005-2009,8/26/1952
Costa,Eduardo Raúl,Unión Cívica Radical,2009-2013,8/27/1961
Cremer de Busti,María Cristina,Peronismo Federal,2009-2013,5/13/1949
Cuccovillo,Ricardo Oscar,Partido Socialista,2007-2011,1/26/1951
Cuccovillo,Ricardo Oscar,,2011-2015,1/26/1951
Cuevas,Hugo Oscar,De la Concertación,2005-2009,8/25/1943
Currilen,Oscar Rubén,Peronista,2009-2013,6/14/1956
Cusinato,Gustavo,Unión Cívica Radical,2007-2011,5/21/1956
Daher,Zulema Beatriz,Peronismo Federal,2007-2011,9/12/1951
Dalla Fontana,Ariel Raúl Armando,Frente para la Victoria - PJ,2005-2009,7/27/1954
Damilano Grivarello,Viviana Mónica,Frente para la Victoria - PJ,2007-2011,12/28/1960
Dato,Alfredo Carlos,Frente para la Victoria - PJ,2007-2011,3/23/1949
Dato,Alfredo Carlos,,2011-2015,3/23/1949
De Ferrari Rueda,Patricia,Unión Cívica Radical,2011-2015,5/9/1958
De Gennaro,Víctor Norberto,,2011-2015,9/29/1948
De la Rosa,María Graciela,Frente para la Victoria - PJ,2007-2011,7/22/1955
Del Campillo,Héctor Eduardo,Unión Cívica Radical,2007-2011,9/10/1962
Delich,Francisco José,Nuevo contra Corrupción p/ Honestidad,2005-2009,1/6/1937
De Marchi,Omar Bruno,Demócrata de Mendoza,2009-2013,5/28/1966
De Marchi,Omar Bruno,Demócrata de Mendoza,2005-2009,5/28/1966
De Narváez Steuer,Francisco,Peronismo Federal,2009-2013,9/22/1953
De Narváez Steuer,Francisco,Unión Celeste y Blanca,2005-2009,9/22/1953
De Pedro,Eduardo Enrique,,2011-2015,11/11/1976
Depetri,Edgardo Fernando,Frente para la Victoria - PJ,2005-2009,4/27/1961
De Prat Gay,Alfonso,Coalición Cívica - Ari,2009-2013,11/24/1965
Díaz,Susana Eladia,Frente para la Victoria - PJ,2007-2011,2/2/1953
Díaz Bancalari,José María,Frente para la Victoria - PJ,2007-2011,9/5/1944
Díaz Bancalari,José María,,2011-2015,9/5/1944
Díaz Roig,Juan Carlos,Frente para la Victoria - PJ,2005-2009,11/20/1947
Díaz Roig,Juan Carlos,Frente para la Victoria - PJ,2009-2013,11/20/1947
Diez,María Inés,Renovador de Salta,2005-2009,8/8/1954
Di Tullio,Juliana,Frente para la Victoria - PJ,2009-2013,10/22/1971
Di Tullio,Juliana,Frente para la Victoria - PJ,2005-2009,10/22/1971
Domínguez,Julián Andrés,,2011-2015,11/24/1963
Donda Pérez,Victoria Analía,Libres Del Sur,2007-2011,9/17/1979
Donda Pérez,Victoria Analía,,2011-2015,9/17/1979
Donkin,Carlos Guillermo,Frente para la Victoria - PJ,2007-2011,5/13/1951
Donkin,Carlos Guillermo,,2011-2015,5/13/1951
Dovena,Miguel Dante,Frente para la Victoria - PJ,2005-2009,5/4/1951
Duclós,Omar Arnaldo,,2011-2015,4/18/1966
Dutto,Gustavo Alberto,,2009-2013,
Dutto,Gustavo Alberto,,2007-2011,
Eliceche,Carlos Tomás,,2011-2015,1/2/1961
